,Replication_ID,Ratio,Best_K,MAE,RMSE,R2
0,0,0.1,10,42891.317475703014,75852.90855342076,0.7683585994142427
1,0,0.3,11,37488.276768291005,68700.32016846686,0.8099844130128468
2,0,0.5,4,34022.92330052511,63385.63364065856,0.8382466150126595
3,1,0.1,9,42826.343370026145,72317.55115567955,0.7551570043237641
4,1,0.3,12,35760.33079330727,63263.750060067476,0.8126256560662339
5,1,0.5,14,32934.2831154344,59588.41814701944,0.8337644231169024
6,2,0.1,7,45584.667614548445,77123.8467314825,0.7489896766019251
7,2,0.3,4,38975.76611846672,69171.7692603429,0.7980834181335715
8,2,0.5,8,36108.061504280086,65785.46384764758,0.8173691670371332
9,3,0.1,12,42519.222358077044,73568.11376374781,0.7621639586908379
10,3,0.3,14,36407.13866285851,65844.26474995287,0.8094827385507144
11,3,0.5,8,33736.860334622754,61803.93088166023,0.8321464148952917
12,4,0.1,12,43380.98209057417,73136.67738378809,0.768793796765556
13,4,0.3,7,37044.28117588296,64741.57666577718,0.818826125269735
14,4,0.5,10,34974.96266399711,61774.52133632165,0.8350517139855056
15,5,0.1,10,43809.86370896293,78670.2700817263,0.7593912048529878
16,5,0.3,6,37741.853087296935,69384.14370497456,0.8128410147530736
17,5,0.5,5,35293.751239762605,66965.35007487422,0.8256626247400691
18,6,0.1,11,42819.21686764997,71331.83108716179,0.7710562464831853
19,6,0.3,17,36038.13957664888,63444.33703722411,0.8188877687770286
20,6,0.5,13,33425.172975530426,61482.4602295347,0.829915581777881
21,7,0.1,9,42447.31116311699,80422.04763887894,0.7392739797694937
22,7,0.3,7,36979.841913880126,71868.44520337552,0.791785667323767
23,7,0.5,10,34926.65444466924,70586.77826581775,0.7991458345530216
24,8,0.1,5,43007.03675048575,75925.66228135221,0.7629003780764896
25,8,0.3,5,37576.43318540038,69588.97252508633,0.8008251346684807
26,8,0.5,8,34947.16994814463,66849.6879532045,0.8161970605650892
27,9,0.1,13,42916.22948956448,72223.66702630822,0.7680365578759542
28,9,0.3,9,36680.223895508716,64123.43474340959,0.817150394150336
29,9,0.5,9,34142.21290651175,60913.56303515688,0.8349982761791139
30,10,0.1,14,41503.595370942596,71450.2689911863,0.7924205726532706
31,10,0.3,6,35540.29908183715,64845.76353977747,0.8290221743187562
32,10,0.5,6,34179.72317261234,63538.72609000023,0.8358452024766954
33,11,0.1,8,41593.30753625784,70877.84057128214,0.7873813183877357
34,11,0.3,5,36621.50068154406,66431.83007696546,0.8132189126978485
35,11,0.5,8,34197.50985024959,63262.72030243859,0.830614515260659
36,12,0.1,13,42228.78761217871,70008.19940939054,0.7786932452591271
37,12,0.3,17,36480.98768800004,62743.542601929774,0.8222396380030936
38,12,0.5,9,34135.27970490356,60313.24059152123,0.8357436451209824
39,13,0.1,8,41339.85334134979,71095.4159610709,0.7550096974848387
40,13,0.3,12,36105.42616242137,63094.30416874237,0.80704945695011
41,13,0.5,8,33507.453277708686,59944.01076256064,0.8258364413076462
42,14,0.1,7,43818.53579203006,78917.56223729675,0.7473452451969287
43,14,0.3,11,37784.99447678721,70839.50311141001,0.7964218490514074
44,14,0.5,6,35315.48267330075,67914.96206981264,0.8128839341035745
45,15,0.1,10,44064.08316372956,79012.79680237957,0.7354390216155156
